,meta.page.currentPage,meta.page.from,meta.page.lastPage,meta.page.perPage,meta.page.to,meta.page.total,data.type,data.id,data.attributes.nomor_pb_umku,data.attributes.nama,data.attributes.website,data.attributes.sektor,data.attributes.nama_perusahaan,data.attributes.tanggal_daftar,data.attributes.nomor_tanda_daftar,data.attributes.qr_code,data.attributes.status_id,data.attributes.sistem_elektronik_id
0,1,1,2,10,10,18,tdpseTerbit,10737,,SEMANGAT,-,Sektor Keuangan,SEMANGAT,2022-08-23,007467.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/e0fd587a78825611e93f2068175a0740.png,SUSPENDED_BY_TAKEL,10568
1,1,1,2,10,10,18,tdpseTerbit,9718,,TOP,dodo.wetopfun.com/,Sektor Teknologi Informasi dan Komunikasi,Topfun Domino Qiu Qiu,2022-08-02,006489.03/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/171a0f68b9b62fd0241008199e7b9882.png,SUSPENDED_BY_TAKEL,9595
2,1,1,2,10,10,18,tdpseTerbit,9254,,TOPFUN,mytopfun.com,Sektor Teknologi Informasi dan Komunikasi,Topfun Domino Qiu Qiu,2022-07-28,006489.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/6aedec7a9740ff9b1bd071416f698bd5.png,SUSPENDED_BY_PAI,9166
3,1,1,2,10,10,18,tdpseTerbit,9253,,DOMINO QIU QIU,mytopfun.com,Sektor Teknologi Informasi dan Komunikasi,Topfun Domino Qiu Qiu,2022-07-28,006489.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/19b8198efff737adf7cb294204f171a4.png,SUSPENDED_BY_PAI,9165
4,1,1,2,10,10,18,tdpseTerbit,8476,,HIGGS SLOT-DOMINO GAPLE QIUQIU,play.google.com/store/apps/details?id=com.big.hsidn,Sektor Teknologi Informasi dan Komunikasi,"B.I.G TECHNOLOGY CO., LIMITED",2022-07-21,005938.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/42d77edf36659783552207b358b799a9.png,SUSPENDED_BY_PAI,8393
5,1,1,2,10,10,18,tdpseTerbit,8475,,LUDO DREAM,play.google.com/store/apps/details?id=com.neptune.ludo,Sektor Teknologi Informasi dan Komunikasi,"B.I.G TECHNOLOGY CO., LIMITED",2022-07-21,005938.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/e454d5a3b64b4dcf357073e705c07b7f.png,SUSPENDED_BY_PAI,8392
6,1,1,2,10,10,18,tdpseTerbit,8474,,HIGGS DOMINO ISLAND,play.google.com/store/apps/details?id=com.neptune.domino; www.topbos.com; apps.apple.com/id/app/higgs-domino-gaple-qiu-qiu/id1456356688,Sektor Teknologi Informasi dan Komunikasi,"B.I.G TECHNOLOGY CO., LIMITED",2022-07-21,005938.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/4a693735dab45443acb212fad141df86.png,SUSPENDED_BY_PAI,8391
7,1,1,2,10,10,18,tdpseTerbit,9724,,DOMINO QIUQIU 99,api.cobrasoft.xyz; api.scude.xyz; api.aircraftco.xyz,Sektor Teknologi Informasi dan Komunikasi,"SHENZHEN ULOVE CREATIVE TECHNOLOGY CO., LTD",2022-08-02,005808.06/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/1e9047a49db4b8b309ef7f2d601d66fb.png,SUSPENDED_BY_TAKEL,9601
8,1,1,2,10,10,18,tdpseTerbit,8224,,MVP DOMINO,play.google.com/store/apps/details?id=com.ipoker.domino&hl=en&gl=US,Sektor Teknologi Informasi dan Komunikasi,"SHENZHEN ULOVE CREATIVE TECHNOLOGY CO., LTD",2022-07-20,005808.05/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/28722932f48da4a28c21599f2d5d85f7.png,SUSPENDED_BY_PAI,8143
9,1,1,2,10,10,18,tdpseTerbit,8223,,POP GAPLE,play.google.com/store/apps/details?id=com.popgames.gaple,Sektor Teknologi Informasi dan Komunikasi,"SHENZHEN ULOVE CREATIVE TECHNOLOGY CO., LTD",2022-07-20,005808.04/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/ef320b6de376fd4c47a655783a1ca5aa.png,SUSPENDED_BY_PAI,8142
10,2,11,2,10,20,18,tdpseTerbit,8222,,POP POKER,play.google.com/store/apps/details?id=com.seagames.texas&hl=en&gl=US,Sektor Teknologi Informasi dan Komunikasi,"SHENZHEN ULOVE CREATIVE TECHNOLOGY CO., LTD",2022-07-20,005808.03/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/e02b9dfbf10bfe55c83908216b348470.png,SUSPENDED_BY_PAI,8141
11,2,11,2,10,20,18,tdpseTerbit,8221,,POP DOMINO,play.google.com/store/apps/details?id=com.seagames.dominoqq&hl=en&gl=US; ttp://gamespic.uloveplay.com/; http://oss-ap-southeast-1.aliyuncs.com/; id.sunnymars.com,Sektor Teknologi Informasi dan Komunikasi,"SHENZHEN ULOVE CREATIVE TECHNOLOGY CO., LTD",2022-07-20,005808.02/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/f0c468b29feaabbbe8ca2e3234433efd.png,SUSPENDED_BY_PAI,8140
12,2,11,2,10,20,18,tdpseTerbit,8220,,POP BIG2,play.google.com/store/apps/details?id=com.seagames.big2,Sektor Teknologi Informasi dan Komunikasi,"SHENZHEN ULOVE CREATIVE TECHNOLOGY CO., LTD",2022-07-20,005808.01/DJAI.PSE/07/2022,https://pse.kominfo.go.id/storage/images/qr_code/6c6f5eceee3fabe2358c2441da262f09.png,SUSPENDED_BY_PAI,8139
13,2,11,2,10,20,18,tdpseTerbit,4079,,APPOINTED CROSS CURRENCY DEALER & SUB DEPOSITORY ACCOUNT,abcd.com,Sektor Keuangan,DANA PENSIUN LEMBAGA KEUANGAN PT.BANK MUAMALAT INDONESIA,2022-05-23,000285.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/c911b1e66254b82cdba9fa53511a544f.png,SUSPENDED_BY_TAKEL,4078
14,2,11,2,10,20,18,tdpseTerbit,4077,,MARIA KALAIJ BLOCKCHAIN TECHNOLOGY SYSTEM,bankmandirish.com,Sektor Keuangan,BANK RAKYAT INDONESIA,2022-05-23,000284.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/0b090935b47097a95955bfae73f645b8.png,SUSPENDED_BY_TAKEL,4076
15,2,11,2,10,20,18,tdpseTerbit,4068,,SPECIAL EDUCATION & SCHOOL FUND INSURANCE,transpeninsular.wordpress.com,Sektor Keuangan,MAHIR MUDA PRATAMA,2022-05-23,000280.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/f68ef4b0ddf78034ea52f740d4c730e6.png,SUSPENDED_BY_TAKEL,4067
16,2,11,2,10,20,18,tdpseTerbit,4078,,MARIA TIURMA,no-websiteyet.com,Sektor Keuangan,MARIA TIURMA,2022-05-23,000275.02/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/ee5f00eb26ccd20e1aafd61d251ccc46.png,SUSPENDED_BY_TAKEL,4077
17,2,11,2,10,20,18,tdpseTerbit,4059,,MARIA TIURMA,no-website.yet.com,Sektor Keuangan,MARIA TIURMA,2022-05-23,000275.01/DJAI.PSE/05/2022,https://pse.kominfo.go.id/storage/images/qr_code/5cc4fbbfa8c1f61c7dc78a723711de2e.png,SUSPENDED_BY_TAKEL,4058
